Player,game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
James,34,1/6/2004,19-007,CLE,NYK,W (+11),41,6,17,0.353,0,2,0,2,2,1,0,4,4,10,1,1,4,14,10,10
James,35,1/7/2004,19-008,CLE,TOR,L (-6),38,10,23,0.435,0,3,0,1,2,0.5,0,2,2,5,0,0,2,21,9.4,-2
James,36,1/9/2004,19-010,CLE,BOS,L (-25),43,7,19,0.368,0,3,0,5,7,0.714,0,3,3,6,3,0,5,19,10.4,-30
James,37,1/12/2004,19-013,CLE,LAL,L (-10),37,6,20,0.3,0,3,0,4,5,0.8,1,4,5,7,1,1,6,16,5.3,3
James,38,1/13/2004,19-014,CLE,SEA,W (+8),44,11,26,0.423,0,1,0,5,6,0.833,4,5,9,9,2,0,4,27,20.6,11
James,39,1/15/2004,19-016,CLE,GSW,L (-17),43,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,29,24.5,-14
James,40,1/17/2004,19-018,CLE,UTA,W (+6),45,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,29,15.2,8
James,41,1/26/2004,19-027,CLE,ORL,W (+1),30,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,16,5.5,-10
James,42,1/28/2004,19-029,CLE,MIA,W (+1),44,10,25,0.4,0,1,0,7,10,0.7,0,5,5,4,2,1,1,27,17.9,2
James,43,1/30/2004,19-031,CLE,MIL,L (-6),37,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,20,3.4,3
James,44,2/1/2004,19-033,CLE,WAS,W (+4),43,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,38,23.5,0
James,45,2/3/2004,19-035,CLE,DET,W (+3),38,5,19,0.263,0,1,0,2,2,1,1,3,4,6,2,0,1,12,6.7,-1
James,46,2/4/2004,19-036,CLE,LAL,L (-5),43,12,26,0.462,4,4,1,4,5,0.8,0,4,4,4,0,0,0,32,22.2,-2
James,47,2/6/2004,19-038,CLE,MIN,L (-11),44,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,14,5.4,-16
James,48,2/7/2004,19-039,CLE,WAS,L (-18),34,6,16,0.375,0,0,,2,2,1,0,0,0,6,4,1,3,14,10.3,-24
James,49,2/9/2004,19-041,CLE,BOS,W (+8),43,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,24,14.1,19
James,50,2/11/2004,19-043,CLE,NJN,L (-20),29,2,13,0.154,0,1,0,5,5,1,1,1,2,5,1,0,5,9,1.2,-12
James,51,2/18/2004,19-050,CLE,DAL,L (-16),34,6,12,0.5,0,0,,4,4,1,2,2,4,9,0,1,5,16,13.2,-15
James,52,2/20/2004,19-052,CLE,SAS,W (+2),39,14,23,0.609,0,0,,4,4,1,2,9,11,2,2,1,2,32,27.7,3
James,53,2/22/2004,19-054,CLE,NYK,W (+6),44,7,20,0.35,0,0,,8,12,0.667,1,4,5,3,1,0,1,22,12.4,11
James,54,2/23/2004,19-055,CLE,NOH,W (+4),36,7,16,0.438,1,5,0.2,6,6,1,0,4,4,6,2,5,1,21,21.3,4
James,55,2/25/2004,19-057,CLE,HOU,L (-6),39,5,18,0.278,0,2,0,1,3,0.333,2,5,7,5,2,1,2,11,6.3,-5
James,56,2/27/2004,19-059,CLE,ORL,W (+5),49,11,19,0.579,1,1,1,7,8,0.875,1,10,11,3,3,1,5,30,24.8,7
James,57,3/1/2004,19-062,CLE,CHI,L (-11),41,7,17,0.412,0,2,0,4,6,0.667,0,3,3,3,4,1,3,18,12,-4
James,58,3/3/2004,19-064,CLE,ATL,W (+32),28,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,24,20.6,22
James,59,3/5/2004,19-066,CLE,NOH,W (+3),37,7,17,0.412,2,2,1,3,4,0.75,2,4,6,4,2,0,4,19,10.9,1
James,60,3/6/2004,19-067,CLE,MIL,W (+9),43,11,24,0.458,0,3,0,2,3,0.667,2,5,7,10,4,1,2,24,22.6,9
James,61,3/8/2004,19-069,CLE,ATL,W (+6),45,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,34,27.6,11
James,62,3/10/2004,19-071,CLE,TOR,W (+14),34,4,13,0.308,0,0,,6,7,0.857,1,2,3,4,1,0,2,14,8.4,16
James,63,3/14/2004,19-075,CLE,IND,W (+3),44,12,22,0.545,0,2,0,2,4,0.5,0,3,3,4,3,1,4,26,16.8,5
James,64,3/16/2004,19-077,CLE,CHI,W (+24),32,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,17,14,24
James,65,3/19/2004,19-080,CLE,UTA,L (-9),33,4,14,0.286,0,2,0,6,10,0.6,0,0,0,7,2,1,2,14,8.6,-2
James,66,3/21/2004,19-082,CLE,DET,L (-20),36,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,15,5.5,-21
James,67,3/23/2004,19-084,CLE,PHO,L (-17),42,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,25,16.6,-12
James,68,3/26/2004,19-087,CLE,PHI,L (-15),33,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,16,9.2,-24
James,69,3/27/2004,19-088,CLE,NJN,W (+3),43,15,29,0.517,1,2,0.5,10,10,1,2,4,6,13,3,0,2,41,39,10
James,70,3/29/2004,19-090,CLE,SAS,L (-8),32,9,20,0.45,0,1,0,0,0,,0,2,2,4,0,1,2,18,9.7,-14
James,71,3/30/2004,19-091,CLE,DAL,L (-17),42,13,22,0.591,0,2,0,2,4,0.5,1,4,5,6,4,0,3,28,23.3,-10
James,72,4/2/2004,19-094,CLE,MIL,L (-18),36,9,19,0.474,0,0,,2,2,1,0,7,7,7,5,0,5,20,16.1,-13
James,73,4/3/2004,19-095,CLE,GSW,L (-3),46,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,34,26.5,-3
James,74,4/6/2004,19-098,CLE,TOR,L (-1),46,5,17,0.294,0,0,,11,14,0.786,1,5,6,4,3,0,3,21,14.1,2
James,75,4/7/2004,19-099,CLE,MEM,L (-18),36,4,11,0.364,0,0,,6,7,0.857,0,3,3,5,3,0,2,14,11.3,-11
James,76,4/9/2004,19-101,CLE,MIA,L (-15),42,6,14,0.429,1,1,1,11,15,0.733,1,6,7,8,1,0,8,24,15.3,-16
James,77,4/10/2004,19-102,CLE,MIA,W (+11),32,4,11,0.364,0,2,0,2,5,0.4,1,2,3,11,0,0,2,10,8.5,14
James,78,4/12/2004,19-104,CLE,MIL,W (+4),45,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,27,24.8,11
James,79,4/14/2004,19-106,CLE,NYK,W (+10),35,8,17,0.471,0,3,0,1,1,1,0,1,1,5,3,0,5,17,9.7,-6
James,1,11/3/2004,19-309,CLE,IND,L (-5),50,8,19,0.421,2,5,0.4,10,12,0.833,1,4,5,8,1,3,6,28,20.9,-10
James,2,11/4/2004,19-310,CLE,MIA,L (-6),43,9,22,0.409,2,3,0.667,1,1,1,3,3,6,8,1,0,1,21,17.8,-8
James,3,11/6/2004,19-312,CLE,MIL,L (-14),42,8,20,0.4,0,3,0,15,22,0.682,2,6,8,6,3,0,4,31,23.8,-12
James,4,11/9/2004,19-315,CLE,ATL,W (+14),48,8,17,0.471,1,4,0.25,8,12,0.667,1,9,10,4,4,2,3,25,22.5,14
James,5,11/10/2004,19-316,CLE,PHO,W (+5),48,13,24,0.542,1,2,0.5,11,12,0.917,3,7,10,6,3,3,3,38,36.1,14
James,6,11/13/2004,19-319,CLE,WAS,W (+31),38,10,20,0.5,0,3,0,4,5,0.8,1,8,9,4,3,2,4,24,19.9,25
James,7,11/15/2004,19-321,CLE,GSW,W (+11),42,12,22,0.545,3,5,0.6,6,8,0.75,2,10,12,4,2,1,1,33,30.1,15
James,8,11/18/2004,19-324,CLE,CHA,W (+17),30,8,14,0.571,2,3,0.667,1,2,0.5,1,5,6,9,0,0,1,19,18.3,21
James,9,11/20/2004,19-326,CLE,CHA,W (+16),38,11,20,0.55,0,2,0,3,4,0.75,5,3,8,2,3,1,7,25,17.5,24
James,10,11/21/2004,19-327,CLE,NYK,L (-10),40,5,15,0.333,1,3,0.333,2,3,0.667,2,7,9,10,1,1,5,13,10.1,1
James,11,11/24/2004,19-330,CLE,DET,W (+16),38,15,22,0.682,2,3,0.667,11,12,0.917,3,3,6,5,3,1,3,43,39.2,12
James,12,11/26/2004,19-332,CLE,BOS,W (+2),43,9,13,0.692,0,2,0,2,3,0.667,0,6,6,8,3,1,2,20,22.4,6
James,13,11/27/2004,19-333,CLE,CHI,W (+22),32,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,26,24.5,25
James,14,11/29/2004,19-335,CLE,LAC,L (-12),42,9,19,0.474,0,2,0,4,5,0.8,1,6,7,5,6,1,3,22,20.8,-16
James,15,12/1/2004,19-337,CLE,PHO,L (-19),40,6,19,0.316,0,2,0,3,4,0.75,1,2,3,6,2,1,6,15,5.1,-17
James,16,12/2/2004,19-338,CLE,DEN,W (+19),41,8,17,0.471,0,0,,1,2,0.5,1,7,8,9,2,1,5,17,13.5,23
James,17,12/4/2004,19-340,CLE,TOR,W (+8),43,10,17,0.588,1,3,0.333,6,7,0.857,0,6,6,10,2,1,3,27,26.4,15
James,18,12/7/2004,19-343,CLE,NJN,W (+6),46,11,22,0.5,0,1,0,5,6,0.833,0,2,2,8,3,0,3,27,20.2,6
James,19,12/8/2004,19-344,CLE,CHI,L (-28),38,5,15,0.333,0,2,0,9,12,0.75,0,2,2,6,1,1,4,19,11,-22
James,20,12/11/2004,19-347,CLE,SAS,L (-19),42,10,19,0.526,1,3,0.333,2,2,1,3,3,6,10,4,0,3,23,23.9,-18
James,21,12/13/2004,19-349,CLE,MEM,W (+6),46,14,22,0.636,1,3,0.333,2,4,0.5,0,5,5,8,7,0,3,31,30.7,10
James,22,12/15/2004,19-351,CLE,POR,W (+24),37,10,18,0.556,2,3,0.667,3,3,1,2,9,11,7,3,2,3,25,26.4,18
James,23,12/16/2004,19-352,CLE,DET,L (-12),45,4,21,0.19,0,2,0,3,5,0.6,1,8,9,7,4,1,3,11,6,-8
James,24,12/18/2004,19-354,CLE,BOS,L (-7),40,12,25,0.48,3,5,0.6,4,8,0.5,1,4,5,4,3,1,4,31,18.7,-1
James,25,12/21/2004,19-357,CLE,MIN,W (+10),43,10,18,0.556,0,1,0,6,8,0.75,0,6,6,12,1,0,2,26,25,13
James,26,12/22/2004,19-358,CLE,NJN,L (-2),42,7,18,0.389,1,1,1,8,10,0.8,1,8,9,9,1,0,4,23,18,-3
James,27,12/26/2004,19-362,CLE,NOH,W (+9),45,7,16,0.438,0,1,0,8,9,0.889,1,8,9,14,4,1,5,22,25,8
James,28,12/28/2004,19-364,CLE,ATL,W (+9),46,13,25,0.52,3,5,0.6,11,14,0.786,1,8,9,7,1,0,1,40,33.7,8
James,29,12/29/2004,19-365,CLE,HOU,L (-11),17,0,5,0,0,1,0,3,5,0.6,0,3,3,5,0,0,0,3,3.1,-10
James,30,1/3/2005,20-004,CLE,CHA,W (+11),41,11,19,0.579,0,3,0,4,6,0.667,2,6,8,6,2,0,1,26,23.5,14
James,31,1/5/2005,20-006,CLE,ATL,W (+16),40,7,14,0.5,2,5,0.4,4,6,0.667,1,5,6,9,1,1,2,20,18.8,10
James,32,1/8/2005,20-009,CLE,NYK,W (+25),32,10,14,0.714,0,0,,2,2,1,1,2,3,4,0,2,8,22,12.9,5
James,33,1/11/2005,20-012,CLE,CHA,W (+2),49,11,24,0.458,2,5,0.4,5,7,0.714,1,7,8,9,2,1,8,29,19.2,7
James,34,1/13/2005,20-014,CLE,LAL,L (-4),44,12,26,0.462,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,28,22.9,-1
James,35,1/15/2005,20-016,CLE,UTA,W (+13),41,9,20,0.45,0,1,0,9,14,0.643,1,7,8,5,5,0,3,27,22.1,11
James,36,1/16/2005,20-017,CLE,SEA,L (-8),44,14,30,0.467,3,7,0.429,4,6,0.667,2,3,5,11,4,1,1,35,30.9,-7
James,37,1/19/2005,20-020,CLE,POR,W (+6),44,11,16,0.688,1,1,1,4,6,0.667,1,10,11,10,4,0,2,27,30.5,0
James,38,1/20/2005,20-021,CLE,SAC,L (-27),37,9,19,0.474,0,1,0,0,1,0,1,7,8,6,1,0,3,18,12.9,-24
James,39,1/22/2005,20-023,CLE,GSW,W (+18),43,13,24,0.542,0,1,0,2,2,1,1,11,12,10,1,1,3,28,25.7,19
James,40,1/24/2005,20-025,CLE,WAS,L (-9),48,12,26,0.462,1,1,1,6,10,0.6,4,6,10,8,2,1,5,31,22.7,-9
James,41,1/26/2005,20-027,CLE,MEM,W (+3),42,10,16,0.625,4,6,0.667,3,4,0.75,1,8,9,15,3,2,5,27,32,7
James,42,2/1/2005,20-033,CLE,ORL,L (-3),43,10,20,0.5,0,3,0,8,13,0.615,2,3,5,7,0,1,3,28,20.1,-3
James,43,2/3/2005,20-035,CLE,MIA,L (-12),46,11,23,0.478,1,3,0.333,8,12,0.667,2,0,2,10,3,0,2,31,26.3,-8
James,44,2/5/2005,20-037,CLE,ORL,W (+9),45,9,21,0.429,0,3,0,12,13,0.923,0,6,6,9,2,0,1,30,26.8,10
James,45,2/8/2005,20-040,CLE,TOR,W (+13),36,6,14,0.429,0,3,0,3,4,0.75,1,7,8,11,3,0,2,15,18.3,15
James,46,2/11/2005,20-043,CLE,DEN,L (-5),43,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,6,1,0,4,35,21.7,-13
James,47,2/13/2005,20-045,CLE,LAL,W (+14),46,8,20,0.4,0,0,,9,10,0.9,2,6,8,9,3,1,3,25,22.8,9
James,48,2/16/2005,20-048,CLE,ATL,W (+22),37,11,20,0.55,2,2,1,4,5,0.8,0,5,5,6,3,0,3,28,23.7,27
James,49,2/17/2005,20-049,CLE,MIN,L (-6),41,10,19,0.526,1,2,0.5,5,6,0.833,2,5,7,8,1,0,2,26,23.8,-1
James,50,2/23/2005,20-055,CLE,CHI,W (+9),44,8,17,0.471,1,1,1,10,15,0.667,1,5,6,11,5,0,3,27,27.4,7
James,51,2/25/2005,20-057,CLE,IND,L (-24),41,9,25,0.36,0,1,0,3,4,0.75,3,4,7,5,2,1,2,21,14.2,-11
James,52,2/27/2005,20-059,CLE,NJN,L (-6),45,9,20,0.45,1,2,0.5,9,10,0.9,1,3,4,7,2,0,5,28,19.1,-10
James,53,2/28/2005,20-060,CLE,SAS,L (-2),45,6,22,0.273,1,4,0.25,7,10,0.7,1,7,8,7,0,0,2,20,10.3,2
James,54,3/2/2005,20-062,CLE,SEA,L (-17),41,11,20,0.55,5,7,0.714,5,8,0.625,0,5,5,5,0,0,4,32,21.4,-7
James,55,3/4/2005,20-064,CLE,PHI,L (-9),40,12,21,0.571,0,1,0,10,12,0.833,1,6,7,7,4,0,6,34,28.3,-10
James,56,3/6/2005,20-066,CLE,MIA,L (-20),41,9,19,0.474,0,1,0,5,7,0.714,0,4,4,5,2,0,1,23,17.8,-17
James,57,3/8/2005,20-068,CLE,ORL,W (+19),40,9,22,0.409,2,6,0.333,3,4,0.75,0,7,7,8,1,1,1,23,18,18
James,58,3/13/2005,20-073,CLE,IND,W (+12),44,12,23,0.522,1,5,0.2,10,11,0.909,2,3,5,5,1,0,4,35,25.7,12
James,59,3/15/2005,20-075,CLE,UTA,W (+19),35,11,15,0.733,2,5,0.4,12,16,0.75,2,7,9,2,0,1,1,36,32.5,22
James,60,3/16/2005,20-076,CLE,MIL,L (-8),45,13,26,0.5,4,9,0.444,4,7,0.571,1,6,7,6,1,0,5,34,22.5,-14
James,61,3/18/2005,20-078,CLE,PHI,L (-12),46,3,20,0.15,0,4,0,10,12,0.833,0,8,8,8,4,0,4,16,10.4,-8
James,62,3/20/2005,20-080,CLE,TOR,L (-7),48,18,36,0.5,6,12,0.5,14,15,0.933,2,8,10,5,2,0,4,56,42.9,-7
James,63,3/22/2005,20-082,CLE,DET,W (+15),43,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,6,1,0,0,29,22.4,21
James,64,3/24/2005,20-084,CLE,HOU,L (-19),42,7,22,0.318,1,4,0.25,4,7,0.571,0,4,4,8,1,0,2,19,10.6,-17
James,65,3/26/2005,20-086,CLE,DAL,L (-31),36,7,17,0.412,0,2,0,5,6,0.833,1,3,4,6,0,0,3,19,11.9,-24
James,66,3/28/2005,20-088,CLE,NOH,W (+1),53,16,29,0.552,3,10,0.3,9,11,0.818,2,4,6,3,4,0,10,44,26.8,1
James,67,3/29/2005,20-089,CLE,LAC,W (+10),41,7,20,0.35,2,8,0.25,6,7,0.857,0,7,7,5,2,1,1,22,17.7,11
James,68,3/31/2005,20-091,CLE,CHI,L (-12),53,10,28,0.357,1,4,0.25,5,11,0.455,4,2,6,7,4,2,3,26,16.7,-12
James,69,4/1/2005,20-092,CLE,SAC,L (-19),44,13,21,0.619,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,35,27.2,-15
James,70,4/3/2005,20-094,CLE,DAL,W (+20),48,10,23,0.435,4,8,0.5,13,13,1,2,8,10,7,2,1,6,37,29.1,20
James,71,4/5/2005,20-096,CLE,NJN,L (-31),40,9,19,0.474,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,24,16,-21
James,72,4/6/2005,20-097,CLE,IND,L (-21),33,9,18,0.5,0,3,0,2,4,0.5,2,2,4,3,1,0,2,20,12.5,-15
James,73,4/8/2005,20-099,CLE,PHI,L (-5),48,12,30,0.4,2,6,0.333,11,11,1,4,9,13,7,5,0,5,37,30.8,-5
James,74,4/9/2005,20-100,CLE,MIL,W (+17),47,15,26,0.577,7,13,0.538,3,3,1,1,9,10,10,2,1,3,40,37.1,13
James,75,4/11/2005,20-102,CLE,ORL,W (+8),48,12,23,0.522,1,6,0.167,8,10,0.8,1,6,7,6,5,1,2,33,29.7,8
James,76,4/14/2005,20-105,CLE,NYK,L (-6),42,7,25,0.28,4,13,0.308,9,14,0.643,1,17,18,7,2,2,4,27,19.2,1
James,77,4/15/2005,20-106,CLE,WAS,L (-8),48,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,6,1,0,1,38,25.7,-8
James,78,4/17/2005,20-108,CLE,DET,L (-3),45,12,35,0.343,2,7,0.286,11,14,0.786,3,8,11,6,0,1,1,37,24.5,-6
James,79,4/19/2005,20-110,CLE,BOS,W (+14),47,13,27,0.481,2,3,0.667,4,5,0.8,1,7,8,6,5,0,3,32,25.7,13
James,80,4/20/2005,20-111,CLE,TOR,W (+9),48,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,14,0,1,2,27,26,9
James,1,11/2/2005,20-307,CLE,NOK,W (+22),33,9,16,0.563,6,7,0.857,7,8,0.875,1,2,3,4,2,0,3,31,24.9,22
James,2,11/4/2005,20-309,CLE,SAS,L (-26),37,7,16,0.438,0,3,0,6,7,0.857,0,6,6,4,0,1,3,20,12.3,-19
James,3,11/5/2005,20-310,CLE,MEM,L (-7),41,14,29,0.483,4,9,0.444,4,5,0.8,0,2,2,6,2,0,2,36,24.9,-3
James,4,11/7/2005,20-312,CLE,TOR,W (+12),36,9,17,0.529,0,2,0,9,12,0.75,0,3,3,6,1,2,1,27,22.8,0
James,5,11/9/2005,20-314,CLE,SEA,W (+27),36,10,18,0.556,0,2,0,11,11,1,1,4,5,1,0,1,4,31,21.3,25
James,6,11/11/2005,20-316,CLE,MEM,W (+19),26,5,11,0.455,0,1,0,6,6,1,1,5,6,2,3,1,3,16,12.6,24
James,7,11/13/2005,20-318,CLE,ORL,W (+8),49,9,20,0.45,1,4,0.25,7,11,0.636,0,5,5,3,0,1,2,26,15.5,7
James,8,11/15/2005,20-320,CLE,WAS,W (+15),42,15,23,0.652,2,3,0.667,5,5,1,1,9,10,4,0,2,3,37,31.1,17
James,9,11/18/2005,20-323,CLE,ORL,W (+18),34,6,17,0.353,0,3,0,4,6,0.667,1,5,6,4,2,0,4,16,7.9,25
James,10,11/19/2005,20-324,CLE,PHI,W (+3),47,14,24,0.583,0,2,0,8,10,0.8,2,9,11,10,1,1,5,36,31.4,8
James,11,11/22/2005,20-327,CLE,BOS,W (+22),41,13,20,0.65,1,3,0.333,9,11,0.818,0,5,5,4,2,2,1,36,31.5,14
James,12,11/24/2005,20-329,CLE,IND,L (-22),43,6,20,0.3,0,4,0,7,11,0.636,1,9,10,4,5,1,6,19,10.1,-18
James,13,11/26/2005,20-331,CLE,MIN,L (-4),44,13,29,0.448,6,11,0.545,6,6,1,2,3,5,2,4,0,2,38,27.8,-3
James,14,11/30/2005,20-335,CLE,LAC,W (+7),50,7,20,0.35,0,3,0,14,17,0.824,0,7,7,9,1,1,6,28,19.3,6
James,15,12/2/2005,20-337,CLE,SEA,L (-7),45,14,27,0.519,0,5,0,6,8,0.75,0,3,3,8,1,3,1,34,28.1,-2
James,16,12/3/2005,20-338,CLE,LAC,L (-12),45,8,25,0.32,3,5,0.6,11,14,0.786,0,5,5,6,1,1,1,30,19.7,-11
James,17,12/6/2005,20-341,CLE,SAC,W (+5),44,10,23,0.435,1,5,0.2,9,12,0.75,2,4,6,6,2,3,5,30,21.8,3
James,18,12/9/2005,20-344,CLE,NJN,L (-9),45,11,26,0.423,0,4,0,10,15,0.667,2,4,6,3,0,1,7,32,13.4,-4
James,19,12/10/2005,20-345,CLE,MIL,L (-5),43,19,29,0.655,5,9,0.556,9,10,0.9,0,7,7,7,2,0,3,52,42.9,-3
James,20,12/13/2005,20-348,CLE,ATL,L (-6),45,13,23,0.565,3,6,0.5,10,16,0.625,0,10,10,6,2,0,6,39,26.9,-4
James,21,12/15/2005,20-350,CLE,DEN,W (+9),45,11,18,0.611,1,4,0.25,3,6,0.5,0,4,4,9,1,0,3,26,20.9,16
James,22,12/17/2005,20-352,CLE,MIA,W (+8),46,12,19,0.632,2,4,0.5,15,16,0.938,0,5,5,10,1,0,4,41,36.4,9
James,23,12/20/2005,20-355,CLE,UTA,W (+25),29,8,12,0.667,1,1,1,8,9,0.889,2,4,6,4,3,2,5,25,23.8,20
James,24,12/22/2005,20-357,CLE,CHI,W (+8),44,12,25,0.48,4,6,0.667,9,13,0.692,0,5,5,6,4,0,2,37,29.6,15
James,25,12/23/2005,20-358,CLE,IND,W (+5),44,4,16,0.25,0,1,0,6,11,0.545,1,7,8,9,1,0,3,14,9.1,1
James,26,12/26/2005,20-361,CLE,CHI,W (+11),45,12,25,0.48,0,5,0,8,12,0.667,1,7,8,6,2,2,2,32,26.1,14
